Store_ID,City,State,Latitude,Longitude,Date,Category,Store_Type,Population,Footfall,Orders,Revenue,Competitor_Count,Avg_Income,Expansion_Score,Revenue_Per_Order,Year,Month
S1000,Mumbai,Maharashtra,18.655,81.391964,2024-07-07,Grocery,Rural,2284489,566.0,234,19230.48,3,75263,7.37,82.18153846153847,2024,7
S1001,Visakhapatnam,Andhra Pradesh,12.394881,81.331993,2024-10-20,Electronics,Urban,1312752,559.0,333,133565.33,11,108016,3.62,401.09708708708706,2024,10
S1002,Chennai,Tamil Nadu,14.799027,77.279994,2024-07-06,Unknown,Rural,4310029,2834.0,977,53920.08,19,46551,5.2,55.18943705220062,2024,7
S1003,Pune,Maharashtra,16.252814,78.023145,2024-06-15,Electronics,Urban,3435659,2161.0,261,99427.04,1,38483,2.1,380.94651340996165,2024,6
S1004,Pune,Maharashtra,17.832364,78.040188,2024-03-21,Pharmacy,Suburban,1823415,1121.0,409,55945.71,3,55757,1.28,136.78657701711492,2024,3
S1005,Bengaluru,Karnataka,17.42593,82.636994,2024-09-26,Fashion,Rural,2635031,1375.0,721,84705.93,15,39300,3.44,117.48395284327322,2024,9
S1006,Pune,Maharashtra,16.107258,82.791532,2024-07-06,Pharmacy,Urban,1335160,1280.0,34,45490.4,6,17568,7.95,1337.9529411764706,2024,7
S1007,Mumbai,Maharashtra,14.054417,77.084479,2024-03-21,Pharmacy,Rural,4830450,2436.0,398,23140.94,6,79505,2.04,58.14306532663316,2024,3
S1008,Hyderabad,Telangana,16.363087,80.221847,2024-02-17,Fashion,Rural,3797389,1851.0,824,183753.51,7,25965,8.98,223.00183252427186,2024,2
S1009,Hyderabad,Telangana,14.680488,82.830273,2024-05-10,Unknown,Urban,3186729,602.0,786,125233.45,8,15206,4.85,159.33008905852418,2024,5
S1010,Bengaluru,Karnataka,15.075356,80.221847,2024-12-17,Fashion,Urban,3381068,195.0,919,227353.79,6,71044,5.86,247.39258977149075,2024,12
S1011,Pune,Maharashtra,13.601587,77.461879,2024-07-05,Fashion,Suburban,93585,2829.0,576,77430.25,5,110003,8.23,134.42751736111111,2024,7
S1012,Mumbai,Maharashtra,14.91557,82.299682,2024-05-07,Electronics,Rural,3610920,2337.0,244,71672.4,19,70016,3.74,293.73934426229505,2024,5
S1013,Visakhapatnam,Andhra Pradesh,15.575231,79.504466,2024-06-13,Grocery,Rural,1434250,1731.0,491,177239.64,16,66005,9.75,360.9768635437882,2024,6
S1014,Mumbai,Maharashtra,13.728132,81.177826,2024-04-22,Grocery,Urban,863168,101.0,661,105704.07,4,53623,9.17,159.91538577912254,2024,4
S1015,Chennai,Tamil Nadu,16.764938,80.185607,2024-08-05,Pharmacy,Suburban,3914822,935.0,458,191596.81,16,40342,8.23,418.3336462882096,2024,8
S1016,Pune,Maharashtra,16.426141,80.801178,2024-08-27,Pharmacy,Urban,1454104,1247.0,206,50697.04,2,64811,3.93,246.1021359223301,2024,8
S1017,Mumbai,Maharashtra,12.116115,80.221847,2024-05-26,Pharmacy,Rural,2361987,588.0,948,102405.15,6,115689,8.54,108.02231012658227,2024,5
S1018,Chennai,Tamil Nadu,14.387464,77.680841,2024-05-30,Fashion,Suburban,2076793,1734.0,282,166696.09,15,31371,5.77,591.1208865248227,2024,5
S1019,Bengaluru,Karnataka,18.973776,82.792516,2024-02-06,Pharmacy,Rural,4942680,1782.0,835,212431.98,19,21295,4.64,254.40955688622756,2024,2
S1020,Hyderabad,Telangana,16.494222,77.50484,2024-04-13,Pharmacy,Suburban,2971944,198.0,172,6240.09,13,92505,7.23,36.27959302325581,2024,4
S1021,Pune,Maharashtra,13.569885,81.273075,2024-10-15,Electronics,Urban,4724351,1627.0,915,187321.78,2,101416,3.77,204.7232568306011,2024,10
S1022,Mumbai,Maharashtra,15.561699,80.817996,2024-01-22,Unknown,Suburban,1571701,2377.0,384,124251.83,7,34738,4.91,323.5724739583333,2024,1
S1023,Pune,Maharashtra,15.51846,80.461423,2024-11-12,Pharmacy,Rural,3822962,1315.0,68,125233.45,11,33589,9.59,1841.668382352941,2024,11
S1024,Pune,Maharashtra,18.184458,81.486313,2024-02-06,Pharmacy,Urban,1981760,401.0,200,145211.65,0,80726,3.75,726.0582499999999,2024,2
S1025,Hyderabad,Telangana,14.218454,78.016956,2024-10-07,Electronics,Rural,2039173,669.0,342,144664.99,17,87991,7.04,422.9970467836257,2024,10
S1026,Bengaluru,Karnataka,13.779146,80.221847,2024-09-29,Pharmacy,Urban,548863,1600.0,701,203293.48,2,65993,8.8,290.00496433666194,2024,9
S1027,Pune,Maharashtra,12.571159,77.031109,2024-02-05,Grocery,Urban,2749015,2659.0,419,17438.29,18,70766,1.25,41.61883054892601,2024,2
S1028,Bengaluru,Karnataka,12.657874,80.469681,2024-12-07,Fashion,Urban,3248649,674.0,209,75202.61,16,85313,8.4,359.8211004784689,2024,12
S1029,Visakhapatnam,Andhra Pradesh,15.759577,78.959907,2024-09-20,Grocery,Urban,1054646,1319.0,793,17662.02,19,47093,5.87,22.272408575031527,2024,9
S1030,Mumbai,Maharashtra,12.929218,82.817221,2024-04-15,Electronics,Rural,1185248,219.0,850,111212.58,4,47217,9.66,130.8383294117647,2024,4
